pitch [deg],pAtm [hPa],Tatm [C],rho [km/m3],Qinf [Pa],Vinf [m/s],Ps (gauge) [Pa],Pt (gauge) [Pa],n [Hz],J [-],P1 (gauge) [Pa],P2 (gauge) [Pa],P3 (gauge) [Pa],P4 (gauge) [Pa],P5 (gauge) [Pa],X [m],Y [m],Z [m]
15,1018.198,13.82,1.236044,556.378511,30.004283,20.649939,577.434941,123.030383,0.600091089,349.487393,367.434154,380.605104,343.345151,568.407474,0.09667,0.20436,0
15,1018.19596,13.82,1.236041,556.134545,29.997734,20.898422,577.41469,123.029552,0.59996416,346.442738,366.568444,381.879923,342.060918,566.93407,0.09667,0.20343,0
15,1018.20434,13.82,1.236051,556.277649,30.00147,20.576164,577.321317,123.030234,0.600035555,344.610125,365.168955,381.302741,341.049698,565.684291,0.09667,0.20319,0
15,1018.21202,13.82,1.236061,556.2243,29.999917,20.840427,577.517588,123.030352,0.600003919,343.228646,364.989911,381.651236,339.994163,564.667799,0.09667,0.2027,0
15,1018.2152,13.82,1.236065,556.090118,29.996252,20.665655,577.156282,123.03141,0.59992546,338.236976,362.142322,382.088495,337.667676,561.65907,0.09667,0.2015,0
15,1018.23486,13.82,1.236088,556.199049,29.9989,20.650137,577.316117,123.028815,0.599991075,333.048765,358.566777,381.22989,334.680232,557.553881,0.09667,0.1996,0
15,1018.24086,13.82,1.236096,556.048065,29.99474,20.745479,577.171536,123.029136,0.599906308,328.75861,355.202237,380.444139,332.700068,553.900223,0.09667,0.197,0
15,1018.25692,13.8232,1.236101,556.43974,30.005233,20.888164,577.718984,123.030044,0.600111743,329.033855,354.23566,378.731779,332.943417,552.666624,0.09667,0.19372,0
15,1018.2384,13.8384,1.236014,556.295258,30.002404,20.813732,577.43507,123.02897,0.6000604,329.751035,353.628629,376.457635,333.408557,552.45496,0.09667,0.18978,0
15,1018.2553,13.84,1.236027,556.043936,29.995461,20.888164,577.424875,123.03355,0.599899205,329.247034,357.679175,385.659896,338.094878,562.728746,0.09667,0.1852,0
15,1018.24376,13.84,1.236013,556.120306,29.997691,20.871858,577.238793,123.028571,0.599968084,338.543391,376.002231,412.513016,356.278206,597.855625,0.09667,0.18,0
15,1018.23554,13.8408,1.236,555.990729,29.994359,20.888296,577.331567,123.029879,0.599895065,376.224725,420.152389,455.767875,394.936301,666.478491,0.09667,0.1742,0
15,1018.2325,13.8476,1.235967,556.189318,30.000115,21.009217,577.74476,123.030273,0.600008265,417.131259,464.785568,500.440056,435.371007,733.34885,0.09667,0.16783,0
15,1018.20404,13.8464,1.235937,556.013986,29.995743,20.929853,577.388646,123.027365,0.599935004,445.392888,497.207484,540.31828,467.542593,783.235409,0.09667,0.16093,0
15,1018.21016,13.8428,1.23596,556.312583,30.003518,21.194181,577.863702,123.031468,0.600070497,462.838532,519.740581,573.613131,491.098253,819.745421,0.09667,0.15353,0
15,1018.21942,13.8448,1.235963,556.02476,29.995723,21.172877,577.615753,123.029503,0.599924179,473.895634,535.891797,600.89661,509.344567,847.770062,0.09667,0.14567,0
15,1018.22566,13.8472,1.23596,556.001028,29.995117,21.135858,577.481492,123.029652,0.599911332,483.444813,549.129751,622.732826,524.471421,870.302704,0.09667,0.13739,0
15,1018.23758,13.8592,1.235923,556.164495,29.999977,21.315496,577.884486,123.029099,0.60001123,484.651256,554.695239,636.288544,531.197239,880.789801,0.09667,0.12872,0
15,1018.23744,13.86,1.235919,555.921241,29.99346,21.415244,577.62075,123.028991,0.599881414,479.263154,552.66584,639.710959,530.320332,879.268145,0.09667,0.11971,0
15,1018.23812,13.86,1.23592,556.18704,30.000619,21.616319,578.127183,123.030417,0.600017643,470.336136,544.421536,635.080459,525.381733,869.650117,0.09667,0.11042,0
15,1018.26966,13.8608,1.235955,556.001076,29.995181,21.63736,577.956357,123.031361,0.599904279,457.067151,530.944766,623.509493,515.089229,852.434158,0.09667,0.10087,0
15,1018.26574,13.86,1.235954,555.952283,29.99388,21.770051,578.178872,123.032232,0.599874012,439.10166,511.391492,603.193572,498.705322,825.053079,0.09667,0.09113,0
15,1018.22078,13.8648,1.235878,556.237258,30.002479,21.833831,578.153156,123.028118,0.600066056,417.998417,486.343764,574.098068,477.574332,789.12376,0.09667,0.08124,0
15,1018.24216,13.8632,1.235911,556.138152,29.999408,21.86559,578.36015,123.031124,0.599989974,391.133471,450.694412,526.923643,444.89671,733.614221,0.09667,0.07124,0
15,1018.25496,13.86,1.235941,556.030219,29.996141,21.992626,578.530579,123.033048,0.599915253,374.064255,419.265114,480.643731,414.059589,678.470551,0.09667,0.0612,0
15,1018.26364,13.8796,1.235867,557.091762,30.025658,21.088318,578.339244,123.025982,0.600540075,369.94014,372.832919,377.025345,355.915446,577.98775,0.11889,0.25,0
15,1018.25904,13.8792,1.235863,555.886735,29.993214,20.872449,577.130238,123.029732,0.599872881,368.807796,372.156311,376.153856,355.060444,576.43183,0.11889,0.24279,0
15,1018.30554,13.88,1.235916,556.096668,29.998234,20.565118,577.036735,123.033097,0.599956873,368.998809,372.072009,376.009991,355.060377,576.272126,0.11889,0.23609,0
15,1018.30598,13.88,1.235916,555.913647,29.99329,20.527704,576.876296,123.029524,0.599875415,369.182134,372.177872,376.134259,355.211614,576.171521,0.11889,0.22993,0
15,1018.27428,13.88,1.235878,556.066339,29.997876,20.798148,577.399037,123.032558,0.599952342,370.028384,373.023335,377.082422,356.02387,577.024711,0.11889,0.22435,0
15,1018.29212,13.88,1.2359,555.989874,29.99555,20.544274,576.763066,123.029608,0.599920206,369.41556,372.616851,376.895287,355.74264,576.36798,0.11889,0.21938,0
15,1018.25746,13.88,1.235858,556.441733,30.008248,20.882641,577.708469,123.027915,0.600182429,370.07027,373.541008,377.941096,356.445876,577.623738,0.11889,0.21504,0
15,1018.26598,13.8828,1.235856,556.09757,29.998987,20.760603,577.135096,123.028088,0.59999636,367.031927,372.083191,377.680648,354.687099,576.606213,0.11889,0.21135,0
15,1018.32682,13.8808,1.235938,556.006344,29.995526,20.475101,576.633403,123.030371,0.599916006,360.534038,369.362903,377.400081,350.482428,573.454709,0.11889,0.20833,0
15,1018.24894,13.88,1.235847,556.629076,30.013424,21.231069,578.158416,123.028993,0.600280693,355.854629,368.623633,380.496216,349.205236,572.945524,0.11889,0.206,0
15,1018.22436,13.882,1.235809,555.8116,29.991844,20.962203,577.393511,123.031329,0.599837695,349.714641,365.649087,380.255822,345.276136,568.69311,0.11889,0.20436,0
15,1018.24074,13.8804,1.235836,556.238539,30.003035,20.761194,577.511997,123.030116,0.600067431,346.110425,364.054699,380.49595,343.301491,567.034736,0.11889,0.20343,0
15,1018.24458,13.8848,1.235821,555.923804,29.994719,20.533687,576.788641,123.027341,0.599914641,343.768547,361.962748,379.002553,341.632928,564.514592,0.11889,0.20319,0
